Name,Nationality,Position,Career Start,Career Finish,Appearances,Goals,Transfers out,Transfer in,Club Captain,Greatest ever Celtic,Scotland 25 caps
Willie Maley, Scotland,DF,1888,1897,100,4,,,,,
Steve Murray, Scotland,MF,1973,1976,100,21,,,,,
Craig Burley, Scotland,MF,1997,1999,93,26,,,,,46
Victor Wanyama, Kenya,MF,2011,2013,91,13,"£12,500,000",,,,
Ki Sung-Yueng,China,MF,2009,2012,87,11,"£6,000,000",,,,
Pierre van Hooijdonk, Netherlands,FW,1995,1997,84,52,"£3,000,000",,,,
Bobby Carroll, Scotland,RW,1957,1963,78,27,,,,,
Sammy Wilson, Scotland,FW,1957,1959,70,46,,,,,
Paul Elliott, England,CD,1989,1991,66,5,,,,,
Paul Hartley,Scotland,MF,2007,2009,62,0,,,,,25
Mark Burchill, Scotland,ST,1998,2001,50,20,,,,,
Dariusz Dziekanowski, Poland,FW,1989,1992,49,10,,,,,
Jorge Cadete, Portugal,FW,1996,1997,48,38,,,,,
Mark Viduka, Australia,CF,1998,2000,46,35,"£6,000,000",,,,
Marc-Antoine Fortune,France,FW,2009,2011,45,12,,"£3,800,000",,,
Eyal Berkoivc,Israel,FW,1999,2001,42,12,,"£5,750,000",,,
Paolo Di Canio,Italy,FW,1996,1997,37,15,,,,,
Paolo Di Canio,Italy,FW,1996,1997,37,15,"£4,500,000",,,,
"Alfie Conn, Jr.",Scotland,MF,1976,1979,37,8,,,,,
David Marshall,Scotland,GF,2002,2007,35,0,,,,,27
Neil McCallum,Scotland,MF,1888,1897,34,19,,,,,
Kenny Miller,Scotland,FW,2006,2007,33,7,,,,,
Billy McPhail,Scotland,FW,1956,1958,33,13,,,,,
Darren Jackson,Scotland,FW,1997,1999,29,3,,,,,28
Steven Pressley,Scotland,CD,2006,2008,19,1,,,,,32
Brazil Rafael Scheidt,Brazil,CD,1999,2001,6,0,,"£4,800,000",,,
Alan Rough,Scotland,GF,1988,1989,5,0,,,,,53
Kris Commons,Scotland,MF,2011,,225,91,,,,,
Gary Hooper, England,FW,2010,2014,138,82,"£5,500,000",,,,
John Hartson, Wales,FW,2001,2006,201,109,,"£6,000,000",,,
Chris Sutton, England,FW,2000,2006,199,86,,"£6,000,000",,15,
Henrik Larsson, Sweden,FW,1997,2004,315,242,,,,2,
Brian McClair, Scotland,FW,1983,1987,198,122,,,,,
Frank McGarvey, Scotland,ST,1980,1985,245,113,,,,,
Charlie Nicholas, Scotland,FW,1979,1995,250,125,,,,,
Murdo MacLeod, Scotland,MF,1978,1987,395,82,,,,,
Tommy Burns, Scotland,MF,1975,1989,523,82,,,,12,
George McCluskey, Scotland,FW,1974,1983,204,78,,,,,
"John ""Dixie"" Deans", Scotland,FW,1971,1976,184,132,,,,,
Kenny Dalglish, Scotland,FW,1969,1977,322,167,,,Yes,7,
Harry Hood, Scotland,FW,1968,1976,312,123,,,,,
Willie Wallace, Scotland,FW,1966,1971,234,135,,,,,
Joe McBride, Scotland,FW,1965,1968,94,87,,,,,
Jimmy Johnstone, Scotland,RW,1962,1975,515,130,,,,1,
Bobby Lennox, Scotland,FW,1961,1980,587,273,,,,11,
John Hughes, Scotland,FW,1960,1971,416,189,,,,,
Bobby Murdoch, Scotland,CM,1959,1973,485,102,,,,8,
Stevie Chalmers, Scotland,FW,1958,1971,405,231,,,,,
John Divers, Scotland,FW,1957,1966,232,103,,,,,
Neil Mochan, Scotland,FW,1953,1960,268,107,,,,,
Bobby Collins, Scotland,MF,1949,1958,320,120,,,,,
John McPhail, Scotland,FW,1941,1956,204,87,,,Yes,,
Johnny Crum, Scotland,FW,1932,1942,210,89,,,,,
Charlie Napier, Scotland,FW,1928,1935,200,95,,,,,
James McGrory, Scotland,FW,1922,1937,445,472,,,,3,
Alec Thomson, Scotland,FW,1922,1934,451,99,,,,,
Tommy McInally, Scotland,FW,1919,1928,213,127,,,,,
Adam McLean, Scotland,W,1917,1928,408,138,,,,,
Joe Cassidy, Scotland,FW,1912,1924,203,105,,,,,
Jimmy McColl, Scotland,FW,1912,1924,169,126,,,,,
Patsy Gallacher,Ireland,RW,1911,1925,464,195,,,,9,
Jimmy McMenemy, Scotland,FW,1902,1920,515,168,,,,19,
Jimmy Quinn, Scotland,FW,1900,1917,331,217,,,,14,
Sandy McMahon, Scotland,IF,1891,1903,217,171,,,Yes,,
John Campbell, Scotland,FW,1890,1903,221,123,,,,,
Craig Bellamy, Wales,FW,2005,2006,12,7,,,,,
